,Expected,Prediction
213,5,6
214,5,8
215,4,8
216,4,4
217,8,8
218,8,6
219,2,6
220,6,6
221,6,6
222,6,6
223,7,8
224,6,6
225,6,6
226,6,6
227,8,8
228,8,8
229,8,8
230,7,8
231,7,6
232,3,5
233,7,8
234,7,8
235,4,7
236,7,8
237,7,6
238,8,8
239,7,6
240,8,7
241,8,7
242,7,7
243,7,6
244,7,8
245,4,5
246,4,5
247,6,7
248,6,7
249,7,7
250,6,8
251,7,6
252,7,6
253,7,7
254,6,5
255,8,6
256,7,7
257,7,7
258,7,7
259,7,7
260,7,7
261,4,7
262,4,7
263,4,7
264,6,6
265,7,6
266,5,5
267,7,7
268,8,8
269,8,8
270,8,6
271,8,6
272,8,6
273,8,6
274,8,8
275,7,8
276,8,6
277,7,7
278,6,7
279,9,8
280,6,8
281,6,8
282,7,8
283,6,6
284,7,6
285,4,6
286,4,6
287,4,6
288,7,7
289,6,6
290,7,7
291,8,8
292,7,8
293,7,8
294,8,8
295,8,8
296,7,7
297,6,8
298,8,8
299,8,8
300,6,8
301,7,6
302,8,8
303,6,7
304,8,8
305,8,8
306,8,8
307,8,8
308,8,8
309,8,8
310,8,8
311,7,8
312,8,8
313,9,8
314,9,8
315,7,8
316,7,7
317,7,8
318,8,8
319,7,6
320,6,7
321,8,8
322,7,8
323,5,5
324,5,5
325,7,8
326,7,8
327,7,8
328,8,6
329,6,6
330,6,7
331,6,6
332,7,6
333,7,6
334,6,6
335,5,6
336,8,8
337,4,5
338,4,5
339,7,8
340,7,8
341,7,8
342,7,8
343,7,8
344,7,8
345,7,8
346,7,8
347,5,6
348,6,7
349,5,6
350,6,7
351,6,6
352,6,6
353,6,8
354,6,8
355,6,8
356,7,8
357,6,6
358,5,6
359,6,6
360,6,6
361,5,6
362,7,8
363,8,8
364,8,8
365,6,8
366,7,8
367,7,8
368,7,7
369,7,7
370,7,6
371,4,5
372,5,6
373,5,6
374,7,6
375,5,6
376,8,8
377,6,8
378,7,6
379,8,7
380,9,9
381,7,7
382,6,6
383,8,8
384,6,7
385,7,8
386,5,7
387,6,7
388,6,6
389,6,6
390,6,8
391,8,8
392,6,6
393,7,6
394,8,6
395,7,8
396,6,8
397,8,8
398,7,8
399,6,8
400,6,6
401,7,8
402,7,8
403,7,8
404,7,6
405,7,6
406,7,6
407,6,8
408,6,8
409,6,8
410,7,7
411,7,7
412,8,8
413,7,8
414,7,8
415,8,8
416,9,8
417,7,8
418,8,8
419,5,7
420,8,8
421,8,8
422,7,7
423,7,8
424,9,8
425,8,8
426,6,6
427,6,7
428,7,7
429,6,7
430,8,8
431,6,8
432,6,8
433,8,8
434,8,8
435,8,8
436,8,8
437,8,8
438,7,8
439,7,7
440,7,7
441,7,8
442,7,8
443,7,8
444,7,8
445,7,8
446,8,8
447,6,6
448,8,8
449,8,8
450,6,6
451,6,6
452,6,6
453,8,8
454,8,8
455,8,8
456,4,6
457,7,8
458,8,8
459,8,8
460,3,7
461,4,6
462,9,8
463,6,6
464,7,8
465,5,5
466,7,8
467,3,4
468,8,8
469,9,8
470,9,8
471,8,8
472,7,6
473,5,5
474,5,5
475,8,8
476,8,8
477,8,8
478,6,6
479,6,7
480,6,7
481,7,7
482,7,8
483,8,8
484,4,6
485,6,7
486,6,8
487,8,8
488,7,7
489,7,7
490,7,7
491,7,7
492,7,6
493,7,6
494,6,7
495,8,8
496,7,8
497,8,8
498,8,8
499,7,8
500,7,8
501,6,8
502,8,8
503,6,6
504,8,8
505,6,6
506,6,6
507,6,6
508,6,5
509,8,8
510,7,8
511,5,6
512,7,6
513,8,8
514,8,8
515,8,8
516,6,7
517,9,8
518,7,8
519,6,6
520,6,6
521,6,6
522,6,6
523,7,8
524,7,7
525,7,7
526,7,7
527,7,8
528,7,8
529,7,8
530,8,8
531,8,8
532,7,6
533,7,6
534,7,6
535,6,6
536,6,6
537,7,7
538,7,8
539,7,8
540,8,8
541,5,6
542,5,6
543,5,6
544,4,6
545,5,6
546,7,8
547,5,5
548,6,7
549,6,7
550,6,7
551,8,8
552,7,8
553,8,8
554,8,8
555,6,8
556,5,5
557,8,8
558,8,8
559,8,8
560,8,8
561,8,8
562,8,8
563,8,8
564,9,8
565,6,6
566,6,5
567,7,8
568,7,8
569,6,6
570,8,8
571,8,8
572,7,8
573,7,8
574,8,8
575,6,6
576,8,8
577,7,7
578,6,6
579,8,8
580,6,4
581,6,8
582,7,7
583,6,6
584,5,5
585,6,6
586,7,6
587,5,5
588,6,6
589,6,6
590,7,4
591,6,6
592,5,6
593,8,8
594,6,6
595,6,6
596,7,8
597,5,7
598,8,8
599,8,8
600,6,8
601,6,7
602,6,6
603,6,4
604,8,8
605,9,8
606,9,8
607,7,7
608,7,7
609,9,8
610,5,6
611,7,8
612,7,8
613,7,8
614,7,8
615,3,6
616,7,8
617,7,4
618,8,8
619,7,6
620,9,7
621,7,8
622,9,7
623,8,8
624,7,8
625,8,6
626,8,7
627,8,7
628,6,6
629,7,8
630,7,6
631,8,8
632,7,5
633,6,6
634,8,8
635,4,4
636,4,4
637,7,6
638,6,6
639,6,6
640,8,8
641,8,8
642,7,6
643,7,8
644,7,7
645,1,8
646,5,6
647,5,7
648,5,7
649,7,7
650,7,6
651,6,6
652,6,8
653,5,6
654,5,6
655,8,8
656,6,8
657,6,7
658,6,7
659,6,7
660,7,7
661,6,7
662,6,7
663,6,6
664,6,6
665,4,7
666,8,8
667,7,7
668,5,6
669,6,7
670,5,6
671,8,7
672,7,6
673,7,8
674,7,8
675,5,7
676,7,6
677,7,8
678,0,6
679,6,5
680,6,6
681,7,5
682,8,7
683,8,6
684,5,5
685,9,8
686,6,5
687,8,8
688,5,8
689,7,7
690,8,7
691,7,7
692,7,6
693,6,7
694,8,7
695,7,8
696,6,6
697,6,6
698,6,4
699,7,7
700,7,6
701,8,8
702,6,6
703,7,5
704,5,6
705,6,6
706,7,6
707,8,8
708,7,6
709,7,6
710,5,6
711,6,6
712,6,6
713,5,6
714,6,8
715,6,6
716,7,6
717,7,8
718,7,8
719,6,6
720,6,6
721,8,8
722,4,4
723,7,6
724,8,8
725,8,8
726,8,8
727,7,8
728,9,8
729,9,8
730,7,8
731,7,6
732,5,4
733,7,8
734,6,7
735,8,7
736,5,6
737,6,8
738,6,6
739,7,8
740,7,8
741,7,6
742,7,5
743,7,5
744,7,8
745,7,8
746,6,6
747,7,8
748,7,8
749,8,8
