,Expected,Prediction
209,5,7
210,7,7
211,6,7
212,6,7
213,7,8
214,7,7
215,4,5
216,4,5
217,3,5
218,6,6
219,6,7
220,5,6
221,7,7
222,5,6
223,6,7
224,7,8
225,8,8
226,6,7
227,6,7
228,6,7
229,9,8
230,7,7
231,6,7
232,6,7
233,5,6
234,8,8
235,5,7
236,6,7
237,5,7
238,5,7
239,6,6
240,6,6
241,6,6
242,6,7
243,6,6
244,6,7
245,6,7
246,7,8
247,8,6
248,7,7
249,8,8
250,6,6
251,8,8
252,7,7
253,4,7
254,7,7
255,7,8
256,7,6
257,7,6
258,9,8
259,3,7
260,9,8
261,4,5
262,9,8
263,7,7
264,7,8
265,7,7
266,7,7
267,6,8
268,7,7
269,5,6
270,4,5
271,6,7
272,6,6
273,6,7
274,4,7
275,7,7
276,7,8
277,8,8
278,8,8
279,4,6
280,7,8
281,6,7
282,8,8
283,7,8
284,6,7
285,8,8
286,7,7
287,5,7
288,5,6
289,5,6
290,6,8
291,7,7
292,9,8
293,9,8
294,3,5
295,4,3
296,9,8
297,3,5
298,7,6
299,6,7
300,6,7
301,5,6
302,4,6
303,6,6
304,8,8
305,7,5
306,7,7
307,6,7
308,4,5
309,5,7
310,5,7
311,6,7
312,6,7
313,6,7
314,6,7
315,6,7
316,6,7
317,7,8
318,6,8
319,5,7
320,4,5
321,8,8
322,8,8
323,6,6
324,7,8
325,4,5
326,4,4
327,4,4
328,2,5
329,8,8
330,7,7
331,9,8
332,8,8
333,7,8
334,5,6
335,7,7
336,8,8
337,8,8
338,7,7
339,4,5
340,5,5
341,6,7
342,6,6
343,8,8
344,7,7
345,6,7
346,4,7
347,5,5
348,2,5
349,2,6
350,5,7
351,6,7
352,3,5
353,4,5
354,4,5
355,7,7
356,3,5
357,9,8
358,3,6
359,3,6
360,2,5
361,4,5
362,5,7
363,4,5
364,4,5
365,8,8
366,2,5
367,7,7
368,6,6
369,7,7
370,7,7
371,5,6
372,6,6
373,5,7
374,5,7
375,5,6
376,7,7
377,4,7
378,8,8
379,7,7
380,7,8
381,8,8
382,3,5
383,7,7
384,7,7
385,4,5
386,7,7
387,6,5
388,6,7
389,6,5
390,4,5
391,4,5
392,4,5
393,5,7
394,2,7
395,3,6
396,7,8
397,7,8
398,7,8
399,6,7
400,6,6
401,6,6
402,7,7
403,4,7
404,8,8
405,4,7
406,7,7
407,4,5
408,5,5
409,8,8
410,5,7
411,6,7
412,8,8
413,5,5
414,5,5
415,5,5
416,6,7
417,6,7
418,6,7
419,2,4
420,9,8
421,7,7
422,7,8
423,4,7
424,1,4
425,7,7
426,7,7
427,5,6
428,8,8
429,8,8
430,6,6
431,6,6
432,6,6
433,1,5
434,6,7
435,8,8
436,7,8
437,7,8
438,6,7
439,7,8
440,3,5
441,6,7
442,6,6
443,7,7
444,7,7
445,7,7
446,7,8
447,7,8
448,7,7
449,7,8
450,6,7
451,6,7
452,6,7
453,7,7
454,5,7
455,3,7
456,4,6
457,7,7
458,6,5
459,6,5
460,6,7
461,6,7
462,6,8
463,7,7
464,5,7
465,9,8
466,9,8
467,9,8
468,7,8
469,7,8
470,8,7
471,2,3
472,3,5
473,6,7
474,6,7
475,4,5
476,7,7
477,7,7
478,7,7
479,6,7
480,9,8
481,9,8
482,9,8
483,9,8
484,8,8
485,7,7
486,7,7
487,7,8
488,7,8
489,7,8
490,7,7
491,9,8
492,8,8
493,8,8
494,7,7
495,7,7
496,7,7
497,7,7
498,7,7
499,6,7
