,date,genres,name,platform,score
112,"February 7, 2007",RPG,Ar tonelico: Melody of Elemia,PlayStation 2,7.4
113,"February 8, 2007",Action,Gain Ground,Wii,7.5
114,"February 8, 2007",Sports,Winning Eleven: Pro Evolution Soccer 2007,Nintendo DS,6.1
115,"February 8, 2007",Action,Destroy All Humans! 2,Wireless,6.7
116,"February 8, 2007",Action,Root Beer Tapper,Xbox 360,7.0
117,"February 8, 2007",Action,Gain Ground,Genesis,7.5
118,"February 9, 2007",Action,Ratchet & Clank: Size Matters,PlayStation Portable,9.0
119,"February 9, 2007","Flight, Simulation",Starshatter: The Gathering Storm,PC,7.0
120,"February 9, 2007",Party,Arthur and the Invisibles: The Game,Nintendo DS,6.0
121,"February 9, 2007",Simulation,Horse Riding Academy,Wireless,5.6
122,"February 12, 2007",Sports,2 Xtreme,PlayStation Portable,2.2
123,"February 12, 2007",Action,The Warriors,PlayStation Portable,8.2
124,"February 12, 2007","Action, Compilation",Wii Play (Game & Wii Remote),Wii,5.5
125,"February 12, 2007",Action,Crackdown [2007],Xbox 360,8.0
126,"February 12, 2007","Action, Adventure",God of War II,PlayStation 2,9.7
127,"February 12, 2007","Action, RPG",Gurumin: A Monstrous Adventure,PlayStation Portable,8.0
128,"February 12, 2007",Strategy,Galactic Civilizations II: Dark Avatar,PC,9.0
129,"February 13, 2007",RPG,Inuyasha: Secret of the Divine Jewel,Nintendo DS,4.0
130,"February 13, 2007",Virtual Pet,Dogz,Nintendo DS,5.5
131,"February 13, 2007",Action,Paperboy,Xbox 360,6.7
132,"February 14, 2007",Virtual Pet,Paws & Claws: Pet Vet,Nintendo DS,6.0
133,"February 14, 2007",Action,Comix Zone,Genesis,7.5
134,"February 14, 2007",Action,Ghost Rider,PlayStation Portable,4.5
135,"February 14, 2007",Action,Comix Zone,Wii,7.5
136,"February 14, 2007",Action,Ghost Rider,PlayStation 2,4.0
137,"February 14, 2007",RPG,Monster Kingdom: Jewel Summoner,PlayStation Portable,7.1
138,"February 14, 2007",Strategy,Military Madness [1990],TurboGrafx-16,7.5
139,"February 14, 2007",Strategy,Military Madness [1990],Wii,7.5
140,"February 14, 2007","Action, Adventure",The Legend of Zelda,Wii,9.0
141,"February 15, 2007",Shooter,Gradius Neo,Wireless,7.3
142,"February 15, 2007",RPG,Final Fantasy VI Advance,Game Boy Advance,9.0
143,"February 15, 2007",RPG,Fossil League: Dino Tournament Championship,Nintendo DS,6.5
144,"February 15, 2007",Trivia,Deal or No Deal,PC,3.1
145,"February 15, 2007",Fighting,Urban Champion,Wii,2.5
146,"February 16, 2007",Strategy,Supreme Commander,PC,9.0
147,"February 16, 2007",Shooter,Space Harrier II,Wii,5.0
148,"February 16, 2007",Racing,Project Gotham Racing Mobile 2D,Wireless,8.0
149,"February 16, 2007","Sports, Action",NBA Street Homecourt,PlayStation 3,8.8
150,"February 16, 2007","Racing, Action",Destruction Derby,PlayStation Portable,6.5
151,"February 16, 2007",Sports,NBA Street Homecourt,Xbox 360,8.8
152,"February 16, 2007",Sports,Underground Pool,Nintendo DS,3.5
153,"February 16, 2007",Racing,Project Gotham Racing Mobile 3D,Wireless,8.5
154,"February 16, 2007",Platformer,Crash Bandicoot,PlayStation Portable,7.5
155,"February 19, 2007",RPG,Jade Empire (Special Edition),PC,8.6
156,"February 20, 2007",Platformer,Donkey Kong Country,Super NES,8.5
157,"February 20, 2007",Action,Streets of Rage,Wii,6.5
158,"February 20, 2007",Platformer,Kirby's Adventure,Wii,9.5
159,"February 20, 2007",Sports,Cool Boarders,PlayStation Portable,4.3
160,"February 20, 2007",Platformer,Sonic and the Secret Rings,Wii,6.9
161,"February 20, 2007","Card, Battle",Yu-Gi-Oh!: Spirit Caller,Nintendo DS,7.2
162,"February 20, 2007",Fighting,Virtua Fighter 5,PlayStation 3,8.8
163,"February 20, 2007",Platformer,Donkey Kong Country,Wii,8.5
164,"February 20, 2007",Platformer,Kirby's Adventure,NES,9.5
165,"February 20, 2007",Action,flOw,PlayStation 3,7.6
166,"February 21, 2007","Action, RPG",Dungeon Explorer,TurboGrafx-16,6.0
167,"February 21, 2007",Action,War Rock,PC,5.9
168,"February 21, 2007","Action, Adventure",Tom Clancy's Splinter Cell Double Agent,Wii,5.5
169,"February 21, 2007",Adventure,Dungeon Explorer,Wii,6.0
170,"February 21, 2007",Action,Bonanza Bros.,Wii,5.5
171,"February 21, 2007",Simulation,The Sims 2: Pets,Wireless,6.0
172,"February 21, 2007",Action,The Legend of Kage,Wii,2.0
173,"February 21, 2007",Sports,Hot Shots Golf 2,PlayStation Portable,7.5
174,"February 21, 2007",Action,Bonanza Bros.,Genesis,5.5
175,"February 22, 2007",Shooter,R-Type III: The Third Lightning,Wii,8.3
176,"February 22, 2007",Strategy,Gary Grigsby's World At War: A World Divided,PC,7.9
177,"February 22, 2007",Shooter,Soldier Blade,Wii,7.7
178,"February 22, 2007",Platformer,The Legend of Spyro: A New Beginning,Wireless,7.3
179,"February 22, 2007","Platformer, Action",New Adventure Island,Wii,6.0
180,"February 22, 2007","Platformer, Action",New Adventure Island,TurboGrafx-16,6.0
181,"February 23, 2007",Racing,Formula One Championship Edition,PlayStation 3,7.2
182,"February 23, 2007","Action, RPG",Izuna: Legend of the Unemployed Ninja,Nintendo DS,6.9
183,"February 23, 2007",Action,Q*bert,PlayStation 3,5.0
184,"February 23, 2007",Adventure,Happy Feet,Game Boy Advance,4.0
185,"February 23, 2007",Virtual Pet,Hamsterz Life,Nintendo DS,7.0
186,"February 23, 2007",Simulation,Lionel Trains: On Track,Nintendo DS,3.5
187,"February 23, 2007",RPG,Mazes of Fate,Game Boy Advance,6.5
188,"February 23, 2007",Racing,NASCAR 07 [2D Edition] (2D Edition),Wireless,8.2
189,"February 26, 2007",Board,Kasparov Chess,Wireless,7.5
190,"February 26, 2007","Puzzle, Action",Chew-Man-Fu,Wii,7.0
191,"February 26, 2007","Action, Adventure",The Legend of Zelda: Ocarina of Time,Wii,10.0
192,"February 26, 2007",Action,Bubble Bobble Evolution,PlayStation Portable,4.3
193,"February 26, 2007",Shooter,Bio-Hazard Battle,Wii,5.0
194,"February 26, 2007",Shooter,Bio-Hazard Battle,Genesis,5.0
195,"February 26, 2007",Racing,NASCAR 07 [3D Edition] (3D Edition),Wireless,7.5
196,"February 26, 2007","Puzzle, Action",Chew-Man-Fu,TurboGrafx-16,7.0
197,"February 27, 2007",Action,Bullet Witch,Xbox 360,4.0
198,"February 27, 2007","Action, Compilation",Metal Slug Anthology,PlayStation Portable,7.5
199,"February 27, 2007",Strategy,War Front: Turning Point,PC,7.8
200,"February 27, 2007",Puzzle,Trioncube,Nintendo DS,5.5
201,"February 27, 2007",Strategy,Samurai Warriors 2 Empires,Xbox 360,5.5
202,"February 27, 2007",RPG,Vanguard: Saga of Heroes,PC,7.7
203,"February 27, 2007",Sports,Major League Baseball 2K7,PlayStation 3,7.4
204,"February 27, 2007","Puzzle, Action",Lumines Plus,PlayStation 2,7.0
205,"February 27, 2007",Sports,Major League Baseball 2K7,Xbox,7.0
206,"February 27, 2007",Sports,Major League Baseball 2K7,PlayStation 2,7.0
207,"February 27, 2007",Sports,Reggie Bush Pro Football 2007,Wireless,7.5
208,"February 27, 2007",Strategy,Samurai Warriors 2 Empires,PlayStation 2,5.5
209,"February 27, 2007",Music,Dance Dance Revolution Universe,Xbox 360,8.7
210,"February 27, 2007",Sports,Major League Baseball 2K7,Xbox 360,7.9
211,"February 27, 2007",Action,Chili Con Carnage,PlayStation Portable,7.7
212,"February 28, 2007",Racing,MotorStorm,PlayStation 3,8.9
213,"February 28, 2007",Sports,MLB '07: The Show,PlayStation Portable,7.9
214,"February 28, 2007",Board,Saints & Sinners Bingo,Wireless,7.4
215,"February 28, 2007","Card, Battle",Marvel Trading Card Game,PlayStation Portable,6.8
216,"February 28, 2007",Puzzle,Meteos: Disney Magic,Nintendo DS,8.0
217,"February 28, 2007",Sports,Tiger Woods PGA Tour 07,Wireless,7.5
218,"February 28, 2007",Sports,SSX Blur,Wii,8.4
219,"February 28, 2007",Sports,Major League Baseball 2K7,PlayStation Portable,5.9
220,"February 28, 2007",Sports,MLB 07: The Show,PlayStation 2,8.5
221,"March 1, 2007",Virtual Pet,Horsez,Nintendo DS,4.0
222,"March 1, 2007","Shooter, Platformer",Alien Hominid,Xbox 360,8.5
223,"March 1, 2007",Simulation,The Sims: Life Stories,PC,7.3
224,"March 1, 2007","Flight, Action",M.A.C.H.,PlayStation Portable,5.9
225,"March 2, 2007",Racing,Burnout Dominator,PlayStation 2,8.0
226,"March 2, 2007",Action,Wario: Master of Disguise,Nintendo DS,6.0
227,"March 2, 2007",Adventure,Sam & Max: Season One -- Episode #4: Abe Lincoln Must Die!,PC,8.0
228,"March 5, 2007",Fighting,Tekken 5: Dark Resurrection,PlayStation 3,8.2
229,"March 5, 2007",RPG,Sword of Vermilion,Wii,5.5
230,"March 5, 2007",Action,300: March to Glory,PlayStation Portable,5.7
231,"March 5, 2007",Action,Super Ghouls 'N Ghosts,Wii,8.0
232,"March 5, 2007",Action,Elevator Action,Wii,6.0
233,"March 5, 2007",Simulation,Chulip,PlayStation 2,6.0
234,"March 5, 2007",Virtual Pet,Catz,Nintendo DS,5.0
235,"March 5, 2007",Action,Elevator Action,NES,6.0
236,"March 5, 2007",Adventure,Myst Online: Uru Live,PC,7.6
237,"March 6, 2007",Fighting,Def Jam: Icon,Xbox 360,7.0
238,"March 6, 2007",Fighting,Def Jam: Icon,PlayStation 3,6.7
239,"March 6, 2007",Action,Kim Possible: Global Gemini,Nintendo DS,6.8
240,"March 6, 2007",Platformer,Kid Icarus,Wii,7.0
241,"March 6, 2007",Platformer,Kid Icarus,NES,7.0
242,"March 6, 2007",Platformer,Ice Climber,NES,6.5
243,"March 6, 2007",Platformer,Ice Climber,Wii,6.5
244,"March 6, 2007",Platformer,Super Mario Bros.,Wii,9.0
245,"March 6, 2007",Sports,College Hoops 2K7,PlayStation 3,8.3
246,"March 6, 2007",Action,Grand Theft Auto: Vice City Stories,PlayStation 2,7.5
247,"March 7, 2007",Shooter,Tom Clancy's Ghost Recon Advanced Warfighter 2,Xbox 360,9.1
248,"March 7, 2007",Racing,Burnout Dominator,PlayStation Portable,8.5
249,"March 8, 2007",Puzzle,Carol Vorderman's Sudoku,PlayStation 2,7.8
250,"March 8, 2007",Puzzle,Carol Vorderman's Sudoku,PlayStation Portable,7.8
251,"March 9, 2007",Strategy,Worms [2007],Xbox 360,7.3
252,"March 12, 2007",Action,300,Wireless,8.0
253,"March 12, 2007",Racing,WipEout,PlayStation Portable,7.0
254,"March 12, 2007",Platformer,Jumping Flash!,PlayStation Portable,4.5
255,"March 13, 2007",Adventure,Double Dungeons,Wii,3.5
256,"March 13, 2007",Action,TMNT: Power of Four,Wireless,5.0
257,"March 13, 2007","Action, RPG",Spectrobes,Nintendo DS,7.0
258,"March 13, 2007",Sports,Tecmo Bowl,Wii,7.0
259,"March 13, 2007",Action,Bungee Desperado,Wireless,2.0
260,"March 13, 2007",RPG,Double Dungeons,TurboGrafx-16,3.5
261,"March 14, 2007",Sports,Tiger Woods PGA Tour 07,Wii,7.0
262,"March 14, 2007",Sports,Arena Football: Road to Glory,PlayStation 2,6.5
263,"March 14, 2007",Action,Teenage Mutant Ninja Turtles: The Classic Arcade Game,Xbox 360,6.7
264,"March 15, 2007","Racing, Action",Shrek Smash n' Crash Racing,GameCube,5.9
265,"March 15, 2007",Shooter,Call of Duty: Roads to Victory,PlayStation Portable,6.6
266,"March 15, 2007",Strategy,Maelstrom: The Battle For Earth Begins,PC,4.0
267,"March 16, 2007",Action,The Godfather: Blackhand Edition,Wii,8.0
268,"March 16, 2007","Action, RPG",Titan Quest: Immortal Throne,PC,7.8
269,"March 16, 2007","Flight, Action",After Burner: Black Falcon,PlayStation Portable,7.9
270,"March 16, 2007",Action,Tom Clancy's Ghost Recon Advanced Warfighter 2,Wireless,7.7
271,"March 16, 2007",Action,The Godfather: The Don's Edition,PlayStation 3,7.5
272,"March 19, 2007","Action, RPG",Custom Robo Arena,Nintendo DS,7.0
273,"March 19, 2007",Sports,Virtua Tennis 3,Xbox 360,8.0
274,"March 19, 2007",Board,Trivial Pursuit Mobile Deluxe [2007],Wireless,7.8
275,"March 19, 2007",Puzzle,Caterpillar (Starwave Version),Wireless,5.0
276,"March 19, 2007",Shooter,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,8.2
277,"March 20, 2007",Simulation,Armored Core 4,Xbox 360,5.9
278,"March 20, 2007","Flight, Action",Wing Island,Wii,5.0
279,"March 20, 2007","Puzzle, Action",Kororinpa: Marble Mania,Wii,6.2
280,"March 20, 2007",Simulation,Cooking Mama: Cook Off,Wii,5.8
281,"March 20, 2007",Simulation,The Sims 2: Seasons,PC,8.9
282,"March 20, 2007",Racing,Rayman Kart,Wireless,8.1
283,"March 20, 2007",Action,The Earth Defense Force 2017,Xbox 360,6.9
284,"March 20, 2007",Action,Armored Core 4,PlayStation 3,5.9
285,"March 20, 2007",Simulation,SpaceStationSim,PC,4.5
286,"March 20, 2007",Action,TMNT,Nintendo DS,5.5
287,"March 20, 2007",Action,TMNT,Game Boy Advance,8.5
288,"March 20, 2007",Action,TMNT,Xbox 360,6.0
289,"March 21, 2007","Racing, Action",Full Auto 2: Battlelines,PlayStation Portable,6.1
290,"March 21, 2007","Racing, Editor",Excitebike,Wii,8.4
291,"March 21, 2007",Action,TMNT,PlayStation 2,6.0
292,"March 21, 2007",Simulation,Silent Hunter: Wolves of the Pacific,PC,8.8
293,"March 21, 2007",Sports,UEFA Champions League 2006-2007,Xbox 360,7.0
294,"March 21, 2007",Sports,MVP Baseball 07,Wireless,5.0
295,"March 21, 2007",Action,TMNT,Wii,5.5
296,"March 21, 2007",Sports,Virtua Tennis 3,PlayStation 3,7.3
297,"March 21, 2007",Action,Splatterhouse [1990],Wii,6.5
298,"March 21, 2007","Action, RPG",Beyond Oasis,Genesis,8.0
299,"March 21, 2007",Racing,Excitebike,NES,8.4
300,"March 21, 2007",Action,TMNT,GameCube,6.0
301,"March 21, 2007",Action,TMNT,PC,6.0
302,"March 21, 2007","Action, Adventure",Beyond Oasis,Wii,8.0
303,"March 22, 2007",Sports,UEFA Champions League 2006-2007,PlayStation 2,7.9
304,"March 22, 2007",Trivia,Scene It? Movie Edition,Wireless,7.5
305,"March 22, 2007","Action, RPG",Alien Shooter: Vengeance,PC,7.5
306,"March 22, 2007","Action, Adventure",Castlevania: Symphony of the Night,Xbox 360,9.0
307,"March 22, 2007",Puzzle,QuickSpot,Nintendo DS,7.4
308,"March 22, 2007","Flight, Action",Blazing Angels: Squadrons of WWII,Wii,5.7
309,"March 22, 2007","Action, RPG",Shining Force EXA,PlayStation 2,7.0
310,"March 22, 2007",Sports,UEFA Champions League 2006-2007,PlayStation Portable,7.9
311,"March 23, 2007","Flight, Simulation",IL-2 Sturmovik: 1946,PC,8.1
312,"March 23, 2007",Simulation,Cake Mania,Wireless,8.0
313,"March 26, 2007",Sports,Harlem Globetrotters World Tour,Nintendo DS,2.5
314,"March 26, 2007",Strategy,Command & Conquer 3 Tiberium Wars,PC,8.5
315,"March 26, 2007",Shooter,Medal of Honor Vanguard,PlayStation 2,7.2
316,"March 26, 2007",RPG,The Elder Scrolls IV: Oblivion,PlayStation 3,9.2
317,"March 26, 2007","Flight, Action",F-24 Stealth Fighter,Nintendo DS,3.5
318,"March 26, 2007",Platformer,Rayman Raving Rabbids,Nintendo DS,6.5
319,"March 26, 2007",Shooter,Medal of Honor Vanguard,Wii,7.0
320,"March 26, 2007",Strategy,Romance of the Three Kingdoms IV: Wall of Fire,Wii,7.7
321,"March 26, 2007",Action,TMNT,PlayStation Portable,5.5
322,"March 27, 2007",Action,Meet The Robinsons,PlayStation 2,7.0
323,"March 27, 2007","Action, Compilation",Konami Classics Series: Arcade Hits,Nintendo DS,8.0
324,"March 27, 2007","Puzzle, Action",Tetris Evolution,Xbox 360,6.3
325,"March 27, 2007","Puzzle, Action",Tetris Evolution,Xbox 360,6.3
326,"March 27, 2007",Action,Meet The Robinsons,Xbox 360,7.0
327,"March 27, 2007",Action,Meet The Robinsons,GameCube,7.0
328,"March 27, 2007",Action,Sonic Spinball,Wii,7.5
329,"March 27, 2007",Action,Meet The Robinsons,Wii,6.8
330,"March 27, 2007",RPG,The Elder Scrolls IV: The Shivering Isles,Xbox 360,8.3
331,"March 27, 2007",RPG,The Elder Scrolls IV: The Shivering Isles,PC,8.5
332,"March 27, 2007",Action,Meet The Robinsons,PC,7.0
333,"March 27, 2007","Action, Adventure",LEGO Star Wars: The Video Game,Wireless,6.0
334,"March 29, 2007",Adventure,Sam & Max: Season One -- Episode #5: Reality 2.0,PC,8.2
335,"March 29, 2007","Puzzle, Action",Puzzle Quest: Challenge of the Warlords,PlayStation Portable,9.0
336,"March 29, 2007","Puzzle, Action",Puzzle Quest: Challenge of the Warlords,Nintendo DS,8.9
337,"March 29, 2007",Shooter,Jetpac Refuelled,Xbox 360,8.0
338,"March 30, 2007",Music,Guitar Hero II (Game & Guitar Controller Bundle),Xbox 360,9.4
339,"March 30, 2007",Puzzle,Kim Possible,Wireless,5.5
340,"March 30, 2007",Action,South Park 10: The Game,Wireless,6.2
341,"March 30, 2007",Compilation,Pogo Island,Nintendo DS,6.1
342,"April 2, 2007","Puzzle, Action",Tetris Multiplayer,Wireless,9.0
343,"April 2, 2007",Puzzle,Honeycomb Beat,Nintendo DS,5.5
344,"April 2, 2007",Racing,Herbie: Rescue Rally,Nintendo DS,7.3
345,"April 2, 2007","Action, Adventure",Brave: The Search for Spirit Dancer,PlayStation 2,5.1
346,"April 3, 2007",Adventure,Heartbreakers,Wireless,7.2
347,"April 3, 2007",Racing,Test Drive Unlimited,PC,8.0
348,"April 3, 2007",Strategy,Frontline: Fields of Thunder,PC,6.4
349,"April 3, 2007",Party,Spring Break: Cancun Goes Wild,Wireless,6.0
350,"April 3, 2007",Fighting,Dragon Ball Z: Shin Budokai -- Another Road,PlayStation Portable,7.0
351,"April 3, 2007",Racing,Test Drive Unlimited,PlayStation 2,7.3
352,"April 3, 2007",RPG,Enchanted Arms,PlayStation 3,6.5
353,"April 3, 2007",Sports,Virtua Tennis 3,PlayStation Portable,7.8
354,"April 3, 2007",Strategy,Blitzkrieg II: Fall of the Reich,PC,6.0
355,"April 3, 2007",Adventure,Final Fantasy Fables: Chocobo Tales,Nintendo DS,8.3
356,"April 4, 2007","Action, RPG",Silverfall,PC,5.5
357,"April 4, 2007",Racing,Test Drive Unlimited,PlayStation Portable,7.8
358,"April 4, 2007",Action,Prince of Persia: Rival Swords,Wii,7.1
359,"April 4, 2007",Sports,Rocky Balboa,PlayStation Portable,4.7
360,"April 4, 2007",Action,Tom Clancy's Splinter Cell Double Agent,PlayStation 3,7.9
361,"April 4, 2007",Adventure,Lost in Blue 2,Nintendo DS,5.5
362,"April 4, 2007",Puzzle,Detective Puzzles,Wireless,6.0
363,"April 4, 2007",Strategy,Genesis Rising: The Universal Crusade,PC,6.5
364,"April 4, 2007","Racing, Action",Shrek Smash n' Crash Racing,Nintendo DS,4.0
365,"April 4, 2007",Puzzle,Skipping Stone IQ,Wireless,7.6
