,date,genres,name,platform,score
50,"February 6, 2002",Shooter,Serious Sam: The Second Encounter,PC,9.2
51,"February 6, 2002",Racing,Wreckless: The Yakuza Missions,Xbox,9.0
52,"February 6, 2002",RPG,Forever Kingdom,PlayStation 2,7.0
53,"February 6, 2002",RPG,Grandia II,PlayStation 2,7.0
54,"February 6, 2002",Sports,Salt Lake 2002,Game Boy Advance,5.1
55,"February 7, 2002",Action,GoDai Elemental Force,PlayStation 2,2.5
56,"February 7, 2002",Sports,ESPN NFL Prime Time 2002,Xbox,4.0
57,"February 7, 2002",Racing,Hot Wheels: Burnin' Rubber,Game Boy Advance,8.0
58,"February 7, 2002",Action,Donald Duck Advance,Game Boy Advance,6.5
59,"February 7, 2002",Sports,Jonny Moseley Mad Trix,PlayStation 2,3.0
60,"February 8, 2002",Wrestling,WWF Raw [2002],Xbox,9.1
61,"February 8, 2002",Platformer,Sonic Adventure 2: Battle,GameCube,6.9
62,"February 11, 2002",Platformer,Super Mario Advance 2: Super Mario World,Game Boy Advance,9.3
63,"February 11, 2002",Sports,ESPN International Winter Sports 2002,PlayStation 2,5.5
64,"February 11, 2002",Sports,ESPN International Winter Sports 2002,GameCube,5.5
65,"February 11, 2002","Sports, Action",NFL Blitz 20-02,PlayStation 2,8.0
66,"February 12, 2002",Simulation,Mall Tycoon,PC,4.7
67,"February 12, 2002",Sports,NHL 2K2,Dreamcast,9.2
68,"February 13, 2002",Platformer,Prehistorik Man,Game Boy Advance,6.0
69,"February 13, 2002",Sports,Dark Summit,GameCube,6.5
70,"February 13, 2002","Action, Adventure",Maximo: Ghosts to Glory,PlayStation 2,9.2
71,"February 14, 2002",Sports,High Heat Major League Baseball 2003,PlayStation 2,8.8
72,"February 14, 2002","Racing, Action",Smashing Drive,GameCube,3.4
73,"February 14, 2002","Action, Adventure",Darkened Skye,PC,7.0
74,"February 14, 2002",Simulation,Tropico: Paradise Island,PC,8.5
75,"February 15, 2002",Action,State of Emergency,PlayStation 2,8.3
76,"February 15, 2002","Action, Adventure",Jekyll & Hyde [2001],PC,2.7
77,"February 19, 2002",Sports,Tiger Woods PGA Tour 2002,PC,8.2
78,"February 19, 2002",Action,Hunting Unlimited,PC,7.5
79,"February 19, 2002",Racing,MotoGP 2,PlayStation 2,7.8
80,"February 20, 2002",RPG,Breath of Fire,Game Boy Advance,7.6
81,"February 20, 2002",Action,New Legends,Xbox,5.5
82,"February 21, 2002",Puzzle,Puyo Pop [2002],Game Boy Advance,9.0
83,"February 21, 2002","Sports, Racing",ESPN Winter X Games Snowboarding 2002,PlayStation 2,7.2
84,"February 21, 2002",Fighting,UFC: Tapout,Xbox,8.3
85,"February 22, 2002",Racing,Star Wars Racer Revenge,PlayStation 2,8.4
86,"February 22, 2002",Action,Jet Set Radio Future,Xbox,9.1
87,"February 22, 2002",Simulation,Star Trek: Bridge Commander,PC,9.0
88,"February 25, 2002",Sports,NBA Street,GameCube,8.6
89,"February 25, 2002",Puzzle,Columns Crown,Game Boy Advance,7.2
90,"February 25, 2002","Music, Action",Gitaroo-Man,PlayStation 2,8.5
91,"February 25, 2002","Action, Adventure",Pirates: The Legend of Black Kat,PlayStation 2,7.3
92,"February 26, 2002",Sports,ESPN NBA 2Night 2002,PlayStation 2,5.7
93,"February 26, 2002",Sports,Salt Lake 2002,PC,2.0
94,"February 26, 2002",Racing,Circus Maximus: Chariot Wars,Xbox,3.8
95,"February 26, 2002",Sports,NBA 2K2,Xbox,8.8
96,"February 26, 2002",Adventure,Doubutsu no Mori,Nintendo 64,8.6
97,"February 27, 2002",Platformer,Pac-Man World 2,PlayStation 2,7.9
98,"February 27, 2002",Sports,Tiger Woods PGA Tour 2002,PlayStation 2,8.0
99,"February 27, 2002",Sports,World Tour Soccer 2002,PlayStation 2,8.1
100,"February 28, 2002",Racing,RalliSport Challenge,Xbox,9.2
101,"March 1, 2002",Platformer,Crash Bandicoot: The Huge Adventure,Game Boy Advance,9.0
102,"March 1, 2002",Sports,All-Star Baseball 2003,Xbox,8.9
103,"March 1, 2002",Sports,All-Star Baseball 2003,PlayStation 2,8.9
104,"March 4, 2002","Action, Adventure",Ecco the Dolphin: Defender of the Future,PlayStation 2,7.8
105,"March 4, 2002",Action,Command & Conquer Renegade,PC,7.4
106,"March 4, 2002",Platformer,Peter Pan in Disney's Return to Never Land,Game Boy Advance,5.0
107,"March 5, 2002",Sports,Knockout Kings 2002,Xbox,8.8
108,"March 5, 2002",Hunting,American Hunting Volume 1: Varmint Hunter,PC,1.2
109,"March 5, 2002",Racing,18-Wheeler American Pro Trucker,GameCube,5.0
110,"March 5, 2002",Sports,Jeremy McGrath Supercross World,GameCube,3.8
111,"March 5, 2002",Action,Zone of the Enders: The Fist of Mars,Game Boy Advance,6.3
112,"March 5, 2002",Simulation,Destroyer Command,PC,5.6
113,"March 5, 2002",Adventure,Fatal Frame,PlayStation 2,7.9
114,"March 6, 2002",Sports,Tony Hawk's Pro Skater 3,Game Boy Advance,9.6
115,"March 6, 2002",Sports,Tony Hawk's Pro Skater 3,Xbox,9.5
116,"March 6, 2002",Racing,Moto Racer 3,PC,6.9
117,"March 6, 2002",Action,Eve of Extinction,PlayStation 2,3.5
118,"March 7, 2002",Platformer,Pac-Man World 2,GameCube,7.0
119,"March 7, 2002",Simulation,Fighter Ace III,PC,8.2
120,"March 7, 2002",Racing,NASCAR Racing 2002 Season,PC,8.9
121,"March 7, 2002","Sports, Action",NBA Jam 2002,Game Boy Advance,2.0
122,"March 8, 2002","Sports, Action",Hot Shots Golf 3,PlayStation 2,8.0
123,"March 8, 2002",RPG,Grandia II,PC,7.9
124,"March 8, 2002",Sports,Knockout Kings 2002,PlayStation 2,8.9
125,"March 8, 2002",Sports,All-Star Baseball 2003,GameCube,8.3
126,"March 11, 2002",Action,Gauntlet: Dark Legacy,GameCube,5.0
127,"March 11, 2002","Action, Adventure",Shadow Man: 2econd Coming,PlayStation 2,7.7
128,"March 11, 2002","Flight, Action",Star Wars Jedi Starfighter,PlayStation 2,9.0
129,"March 11, 2002",Action,Army Men: Operation Green,Game Boy Advance,6.2
130,"March 12, 2002",Strategy,Warlords Battlecry II,PC,8.5
131,"March 12, 2002",Racing,Sled Storm,PlayStation 2,8.5
132,"March 12, 2002",Sports,Mike Tyson Boxing,Game Boy Advance,4.8
133,"March 12, 2002",Sports,Triple Play 2002,PlayStation 2,5.9
134,"March 12, 2002","Racing, Action",SpyHunter,Xbox,7.0
135,"March 13, 2002",Adventure,Herdy Gerdy,PlayStation 2,7.5
136,"March 13, 2002",Strategy,Diggles: The Myth of Fenris,PC,7.2
137,"March 13, 2002","Racing, Action",SpyHunter,GameCube,6.8
138,"March 14, 2002",Fighting,Bloody Roar: Primal Fury,GameCube,7.7
139,"March 14, 2002","Music, Action",Mad Maestro,PlayStation 2,6.5
140,"March 14, 2002",Strategy,Dark Planet: Battle for Natrolis,PC,7.5
141,"March 14, 2002",Action,Mister Mosquito,PlayStation 2,7.5
142,"March 15, 2002",Action,GunValkyrie,Xbox,9.0
143,"March 15, 2002",Shooter,James Bond 007: Agent Under Fire,GameCube,7.7
144,"March 15, 2002","Sports, Action",SEGA Soccer Slam,GameCube,8.2
145,"March 15, 2002",Sports,Home Run King,GameCube,6.2
146,"March 18, 2002",Platformer,Peter Pan in Disney's Return to Never Land,PlayStation,5.3
147,"March 18, 2002",Sports,NHL 2002,Game Boy Advance,7.9
148,"March 19, 2002",Action,Ice Age,Game Boy Advance,4.5
149,"March 19, 2002",Fighting,Virtua Fighter 4,PlayStation 2,9.3
150,"March 19, 2002",Sports,Triple Play 2002,Xbox,3.8
151,"March 20, 2002",Action,Space Invaders,Game Boy Advance,8.1
152,"March 20, 2002",Sports,NBA 2K2,GameCube,8.6
153,"March 20, 2002",Sports,Real Pool 2,PC,3.0
154,"March 20, 2002","Sports, Action",NFL Blitz 20-02,Xbox,8.0
155,"March 20, 2002",Sports,Baseball Advance,Game Boy Advance,8.8
156,"March 21, 2002",Adventure,Blood Omen 2: Legacy of Kain,PlayStation 2,7.4
157,"March 21, 2002",Action,Blood Omen 2: Legacy of Kain,Xbox,7.7
158,"March 21, 2002",Sports,High Heat Major League Baseball 2003,Game Boy Advance,5.1
159,"March 22, 2002",Racing,WRC: World Rally Championship,PlayStation 2,8.7
160,"March 26, 2002",Action,Konami Collector's Series: Arcade Advanced,Game Boy Advance,9.0
161,"March 26, 2002","Sports, Action",NFL Blitz 20-02,GameCube,7.9
162,"March 26, 2002",RPG,Freedom Force,PC,9.3
163,"March 26, 2002",Sports,ESPN International Winter Sports 2002,Xbox,5.5
164,"March 27, 2002",Racing,Shrek Swamp Kart Speedway,Game Boy Advance,3.0
165,"March 27, 2002",RPG,King's Field: The Ancient City,PlayStation 2,6.6
166,"March 29, 2002",Sports,Smash Court Tennis Pro Tournament,PlayStation 2,8.0
167,"March 29, 2002",Shooter,Tom Clancy's Ghost Recon: Desert Siege,PC,8.6
168,"April 1, 2002",Strategy,Army Men: RTS,PlayStation 2,5.4
169,"April 1, 2002",Action,Star Wars Jedi Knight II: Jedi Outcast,PC,9.0
170,"April 2, 2002",Racing,MotoGP [2002],Game Boy Advance,6.9
171,"April 3, 2002","Flight, Action",Savage Skies,PlayStation 2,4.0
172,"April 3, 2002",Racing,World of Outlaws: Sprint Cars 2002,PlayStation 2,7.3
173,"April 3, 2002","Action, Adventure",Blood Omen 2: Legacy of Kain,PC,7.1
174,"April 4, 2002","Action, RPG",Dungeon Siege,PC,8.5
175,"April 4, 2002",Racing,Driven,GameCube,3.6
176,"April 4, 2002",Puzzle,Tetris Worlds,PlayStation 2,3.8
177,"April 4, 2002",Action,Atari Anniversary Advance,Game Boy Advance,8.0
178,"April 5, 2002",Shooter,James Bond 007: Agent Under Fire,Xbox,7.6
179,"April 5, 2002",Sports,ESPN MLS Extra Time 2002,GameCube,7.1
180,"April 5, 2002",Sports,Tony Hawk's Pro Skater 3,PC,9.3
181,"April 5, 2002",Action,Monster Jam: Maximum Destruction,Game Boy Advance,5.5
182,"April 5, 2002",Sports,ESPN MLS Extra Time 2002,Xbox,7.1
183,"April 8, 2002",Action,The Scorpion King: Sword of Osiris,Game Boy Advance,8.0
184,"April 8, 2002",Simulation,The Sims: Vacation,PC,8.0
185,"April 9, 2002",Shooter,Carnivores: Cityscape,PC,6.5
186,"April 9, 2002",Adventure,Pirates: The Legend of Black Kat,Xbox,6.0
187,"April 9, 2002",Shooter,Global Operations,PC,8.4
188,"April 9, 2002",Action,Tom Clancy's Rainbow Six: Rogue Spear,Game Boy Advance,8.4
189,"April 9, 2002",Adventure,Broken Sword: The Shadow of the Templars,Game Boy Advance,7.5
190,"April 10, 2002",Action,The Three Stooges,Game Boy Advance,6.0
191,"April 10, 2002",Strategy,Heroes of Might and Magic IV,PC,8.7
192,"April 11, 2002",Platformer,Donald Duck: Goin' Quackers,GameCube,5.2
193,"April 12, 2002",Strategy,Cossacks: The Art of War,PC,7.5
194,"April 12, 2002",Hunting,Top Angler: Real Bass Fishing,PlayStation 2,3.9
195,"April 12, 2002",RPG,Might and Magic IX,PC,6.7
196,"April 12, 2002",Racing,Motocross Maniacs Advance,Game Boy Advance,6.0
197,"April 15, 2002",RPG,Breath of Fire II,Game Boy Advance,8.3
198,"April 15, 2002",Sports,High Heat Major League Baseball 2003,PC,7.0
199,"April 16, 2002",Sports,RedCard 20-03,PlayStation 2,7.2
200,"April 17, 2002",Action,Spider-Man: The Movie,Game Boy Advance,8.8
201,"April 17, 2002",Action,Spider-Man: The Movie,PlayStation 2,8.4
202,"April 18, 2002",Platformer,"Monsters, Inc.",PlayStation 2,2.9
203,"April 18, 2002",Action,Star X,Game Boy Advance,4.5
204,"April 18, 2002",Action,Spider-Man: The Movie,GameCube,7.6
205,"April 18, 2002",Platformer,Goemon: New Age Shutsudo,Game Boy Advance,6.5
206,"April 18, 2002",Action,Spider-Man: The Movie,Xbox,8.4
207,"April 19, 2002",Board,Virtual Kasparov,Game Boy Advance,6.5
208,"April 23, 2002",Sports,2002 FIFA World Cup,PlayStation 2,8.3
209,"April 23, 2002",Action,Gauntlet: Dark Legacy,Xbox,4.9
210,"April 23, 2002",Shooter,The Operative: No One Lives Forever,PlayStation 2,6.9
211,"April 23, 2002",Action,Britney's Dance Beat,Game Boy Advance,5.0
212,"April 23, 2002",Sports,2002 FIFA World Cup,Xbox,8.2
213,"April 24, 2002",Shooter,Wolfenstein 3-D,Game Boy Advance,5.0
214,"April 24, 2002",Sports,2002 FIFA World Cup,GameCube,8.2
215,"April 25, 2002",Simulation,Trainz,PC,8.0
216,"April 26, 2002",Platformer,Crash Bandicoot: The Wrath of Cortex,Xbox,6.7
217,"April 26, 2002","Action, Adventure",Resident Evil [2002],GameCube,9.0
218,"April 29, 2002","Racing, Action",Burnout,GameCube,7.8
219,"April 29, 2002",Action,Spider-Man: The Movie,PC,8.0
220,"April 29, 2002",Action,Blender Bros.,Game Boy Advance,7.8
221,"April 30, 2002",Racing,Burnout,Xbox,7.6
222,"May 1, 2002",Sports,TransWorld Surf,PlayStation 2,7.8
223,"May 1, 2002",RPG,Deus Ex: The Conspiracy,PlayStation 2,7.9
224,"May 1, 2002",Racing,Hooters Road Trip,PC,2.0
225,"May 2, 2002",Adventure,Alfred Hitchcock Presents: The Final Cut,PC,6.1
226,"May 6, 2002","Flight, Simulation",Jane's Attack Squadron,PC,4.5
227,"May 6, 2002",RPG,Arc the Lad Collection,PlayStation,8.8
228,"May 7, 2002",Shooter,Tac Ops: Assault on Terror,PC,5.6
229,"May 7, 2002",Music,Dance Dance Revolution Konamix,PlayStation,9.5
230,"May 7, 2002",Shooter,Die Hard: Nakatomi Plaza,PC,5.5
231,"May 9, 2002",Strategy,Army Men: RTS,PC,7.7
232,"May 9, 2002",Music,Britney's Dance Beat,PlayStation 2,5.5
233,"May 10, 2002","Action, RPG",Dragon Ball Z: The Legacy of Goku,Game Boy Advance,5.8
234,"May 10, 2002",Sports,Virtua Striker 2002,GameCube,5.1
235,"May 13, 2002",Sports,Tiger Woods PGA Tour Golf,Game Boy Advance,6.0
236,"May 13, 2002",Simulation,Factory Mogul,PC,5.8
237,"May 14, 2002",Action,Headhunter,PlayStation 2,8.4
238,"May 14, 2002",Racing,Smashing Drive,Xbox,3.3
239,"May 14, 2002","Action, Compilation",Atari Revival,PC,5.2
240,"May 15, 2002",Strategy,Tactics Ogre: The Knight of Lodis,Game Boy Advance,8.5
241,"May 15, 2002",RPG,The Elder Scrolls III: Morrowind,PC,9.4
242,"May 15, 2002",Action,Star Wars: Episode II Attack of the Clones,Game Boy Advance,6.5
243,"May 16, 2002",Strategy,Star Wars Galactic Battlegrounds: The Clone Campaigns,PC,7.8
244,"May 17, 2002",Strategy,Warrior Kings,PC,7.8
245,"May 17, 2002",Action,Hunter: The Reckoning,Xbox,8.7
246,"May 20, 2002",Shooter,Soldier of Fortune II: Double Helix,PC,8.8
247,"May 21, 2002","Sports, Simulation",Baseball Mogul 2003,PC,8.9
248,"May 27, 2002","Action, Adventure",Grand Theft Auto III,PC,9.4
249,"May 28, 2002",Shooter,The Sum of All Fears,PC,8.7
250,"May 29, 2002",Racing,Rally Trophy,PC,7.6
251,"May 29, 2002",Sports,Aggressive Inline,PlayStation 2,9.4
252,"May 30, 2002",Racing,Looney Tunes: Space Race,PlayStation 2,6.9
253,"May 30, 2002",Sports,2002 FIFA World Cup,PC,9.3
254,"May 30, 2002",Shooter,Duke Nukem: Manhattan Project,PC,7.7
255,"May 31, 2002",Sports,World Series Baseball [2002],Xbox,9.0
256,"June 3, 2002",Racing,Test Drive,PlayStation 2,7.7
257,"June 3, 2002",Action,Desert Strike Advance,Game Boy Advance,8.0
258,"June 3, 2002",Racing,MotoGP: Ultimate Racing Technology,Xbox,8.8
259,"June 3, 2002",Shooter,Medal of Honor: Frontline,PlayStation 2,8.0
260,"June 3, 2002","Wrestling, Simulation",Legends of Wrestling,Xbox,7.0
261,"June 4, 2002",Action,Way of the Samurai,PlayStation 2,7.8
262,"June 4, 2002","Flight, Action",Star Wars Jedi Starfighter,Xbox,8.0
263,"June 4, 2002","Racing, Action",SpyHunter,Game Boy Advance,7.2
264,"June 4, 2002","Card, RPG",Lost Kingdoms,GameCube,5.9
265,"June 5, 2002",Sports,All-Star Baseball 2003,Game Boy Advance,7.8
266,"June 5, 2002",Platformer,Scooby-Doo! Night of 100 Frights,PlayStation 2,6.7
267,"June 5, 2002",Fighting,UFC: Throwdown,PlayStation 2,7.4
268,"June 6, 2002",Racing,Muscle Car 2: American Spirit,PC,1.5
269,"June 6, 2002",Pinball,Muppet Pinball Mayhem,Game Boy Advance,7.9
270,"June 7, 2002",Action,Dark Vengeance,Macintosh,6.8
271,"June 7, 2002",Strategy,Dark Colony,Macintosh,6.0
272,"June 7, 2002",Strategy,Imperialism II: The Age of Exploration,Macintosh,8.4
273,"June 7, 2002",Shooter,Descent 3,Macintosh,9.0
274,"June 7, 2002",Action,Bugdom,Macintosh,7.0
275,"June 7, 2002",Sports,Goofy Golf Deluxe,Macintosh,6.0
276,"June 7, 2002",Casino,Hoyle Casino [2000],Macintosh,8.8
277,"June 7, 2002",Strategy,Civilization: Call to Power,Macintosh,4.8
278,"June 7, 2002","Action, RPG",Diablo II,Macintosh,8.3
279,"June 7, 2002",Flight,Fly!,Macintosh,6.0
280,"June 7, 2002",Strategy,StarCraft: Brood War,Macintosh,8.0
281,"June 7, 2002",Simulation,Caesar III,Macintosh,8.7
282,"June 7, 2002",Action,Carmageddon 2: Carpocalypse Now,Macintosh,7.0
283,"June 7, 2002",Shooter,Deus Ex,Macintosh,9.4
284,"June 7, 2002",Shooter,Star Trek: Voyager: Elite Force,Macintosh,9.0
285,"June 7, 2002",Strategy,Age of Empires,Macintosh,7.0
286,"June 7, 2002",Wrestling,WWE WrestleMania X8,GameCube,7.0
287,"June 7, 2002",Flight,Falcon 4.0,Macintosh,8.4
288,"June 10, 2002",Shooter,Quake III: Arena,Macintosh,9.3
289,"June 10, 2002",Action,Oni,Macintosh,8.0
290,"June 10, 2002",Strategy,Majesty: The Fantasy Kingdom,Macintosh,9.0
291,"June 10, 2002",Sports,Madden NFL 2000,Macintosh,8.0
292,"June 10, 2002",Strategy,Risk II,Macintosh,8.9
293,"June 10, 2002",Shooter,Unreal Tournament [1999],Macintosh,9.6
294,"June 10, 2002",Shooter,Quake II,Macintosh,8.3
295,"June 11, 2002",Racing,Test Drive,Xbox,7.3
296,"June 11, 2002",Puzzle,ZooCube,GameCube,7.8
297,"June 11, 2002",Action,Pac-Man All-Stars,PC,6.4
298,"June 11, 2002",Platformer,Shantae,Game Boy Color,9.0
299,"June 11, 2002",Shooter,Endgame,PlayStation 2,3.5
300,"June 11, 2002",Shooter,Endgame,PlayStation 2,3.5
301,"June 12, 2002",Action,Punch King,Game Boy Advance,6.0
302,"June 12, 2002",Wrestling,Legends of Wrestling,GameCube,5.4
303,"June 12, 2002",Action,Monster Jam: Maximum Destruction,PlayStation 2,3.6
304,"June 12, 2002",Racing,GTC Africa,PlayStation 2,7.7
305,"June 12, 2002",Shooter,Gore: Ultimate Soldier,PC,8.0
306,"June 12, 2002",Shooter,Extreme PaintBrawl 4,PC,4.0
307,"June 12, 2002","Flight, Action",Lethal Skies: Elite Pilot -- Team SW,PlayStation 2,4.9
308,"June 12, 2002",Adventure,Bomberman Generation,GameCube,8.1
309,"June 13, 2002","Flight, Action",Dropship: United Peace Force,PlayStation 2,7.9
310,"June 13, 2002",Racing,MX Superfly,GameCube,8.5
311,"June 13, 2002",Action,Lilo & Stitch,Game Boy Advance,8.0
312,"June 13, 2002","Sports, Action",Outlaw Golf,Xbox,7.2
313,"June 13, 2002","Racing, Simulation",F1 2002,PlayStation 2,7.6
314,"June 14, 2002",Racing,MX Superfly,PlayStation 2,8.4
315,"June 14, 2002",Action,E.T. The Extra-Terrestrial,Game Boy Advance,3.5
316,"June 14, 2002",Platformer,Frogger Advance: The Great Quest,Game Boy Advance,7.0
317,"June 17, 2002",RPG,The Elder Scrolls III: Morrowind,Xbox,9.4
318,"June 17, 2002",Sports,Freekstyle,PlayStation 2,8.2
319,"June 17, 2002",Shooter,Operation Blockade,PC,4.0
320,"June 17, 2002",RPG,Mega Man Battle Network 2,Game Boy Advance,8.5
321,"June 18, 2002",Platformer,Earthworm Jim 2,Game Boy Advance,4.0
322,"June 18, 2002",Racing,The Italian Job,PlayStation,7.5
323,"June 18, 2002","Racing, Action",WipEout Fusion,PlayStation 2,9.0
324,"June 19, 2002",Platformer,Lilo & Stitch,PlayStation,5.0
325,"June 19, 2002",Pinball,The Pinball of the Dead,Game Boy Advance,8.0
326,"June 19, 2002","Racing, Action",Stuntman,PlayStation 2,8.6
327,"June 20, 2002",Racing,Nicktoons Racing,Game Boy Advance,8.0
328,"June 20, 2002",Strategy,Legion: The Legend of Excalibur,PlayStation 2,7.8
329,"June 21, 2002",Action,Bomberman Max 2: Blue Advance,Game Boy Advance,7.5
330,"June 21, 2002",Platformer,Stitch: Experiment 626,PlayStation 2,6.0
331,"June 21, 2002",Adventure,Eternal Darkness: Sanity's Requiem,GameCube,9.6
332,"June 21, 2002",Action,Bomberman Max 2: Red Advance,Game Boy Advance,7.5
333,"June 21, 2002",RPG,Neverwinter Nights,PC,9.0
334,"June 24, 2002",Racing,Downforce,PlayStation 2,7.1
335,"June 24, 2002",Simulation,Ultimate Ride Coaster Deluxe,PC,7.5
336,"June 24, 2002",Strategy,Age of Wonders II: The Wizard's Throne,PC,8.5
337,"June 24, 2002",Platformer,Aero the Acrobat,Game Boy Advance,7.9
338,"June 24, 2002",Racing,Splashdown,Xbox,7.3
339,"June 25, 2002",Strategy,Sid Meier's Civilization III,Macintosh,9.0
340,"June 25, 2002",Adventure,Shadow of Destiny,PC,8.7
341,"June 25, 2002","Flight, Action",Sky Gunner,PlayStation 2,7.8
342,"June 25, 2002",Sports,RedCard 20-03,GameCube,7.2
343,"June 25, 2002",Sports,WTA Tour Tennis,Game Boy Advance,5.8
344,"June 25, 2002","Sports, Action",MLB SlugFest 20-03,PlayStation 2,8.3
345,"June 26, 2002",Adventure,Jazz and Faust,PC,2.2
346,"June 26, 2002",Sports,Mike Tyson Heavyweight Boxing,PlayStation 2,2.6
347,"June 26, 2002",Puzzle,Tetris Worlds,Xbox,4.6
348,"June 26, 2002","Action, Adventure",Resident Evil Gaiden,Game Boy Color,4.0
349,"June 26, 2002",Sports,RedCard 20-03,Xbox,6.4
350,"June 26, 2002",Puzzle,Tetris Worlds,GameCube,4.6
351,"June 27, 2002",Action,Pryzm: Chapter One: The Dark Unicorn,PlayStation 2,7.0
352,"June 27, 2002",Strategy,Romance of the Three Kingdoms VII,PlayStation 2,8.5
353,"June 28, 2002",Fighting,Barbarian,PlayStation 2,7.8
354,"June 28, 2002",Racing,NASCAR Heat 2002,Game Boy Advance,5.0
355,"June 29, 2002",Action,OttoMatic,Macintosh,7.0
356,"July 1, 2002",Sports,LEGO Soccer Mania,PlayStation 2,5.5
357,"July 1, 2002",Racing,Le Mans 24 Hours,PC,6.0
358,"July 1, 2002","Racing, Simulation",F1 2002,GameCube,7.0
359,"July 2, 2002",Strategy,Warcraft III: Reign of Chaos,PC,9.3
360,"July 2, 2002","Fighting, Adventure",Bruce Lee: Quest of the Dragon,Xbox,3.9
361,"July 3, 2002",Puzzle,Assimilation,PC,6.8
362,"July 3, 2002",Card,Magic: The Gathering Online,PC,7.5
363,"July 5, 2002",Action,OttoMatic,PC,7.0
364,"July 8, 2002","Racing, Simulation",F1 2002,PC,9.3
365,"July 8, 2002",Simulation,Zoo Tycoon: Dinosaur Digs,PC,7.0
366,"July 8, 2002",Shooter,Men In Black II: Alien Escape,PlayStation 2,4.0
367,"July 9, 2002",Action,Fireblade,PlayStation 2,7.7
368,"July 9, 2002",Shooter,Birdie Shoot,Macintosh,6.5
369,"July 10, 2002",Shooter,Medal of Honor: Allied Assault,Macintosh,9.3
370,"July 11, 2002",RPG,Robopon 2: Ring Version,Game Boy Advance,7.0
